solar_size,prod_cost_wt,hour,demand_kWh,dual,marginal_plant,marginal_type,technology_cost,emissions,flat_unit,flat_unit_eff
0,0.95,17,5096200.0,15.004783861518998,TETO NS,thermal-gas,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,18,5187500.0,15.004783861518998,TETO NS,thermal-gas,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,19,5174827.707,15.004783861518998,TETO NS,thermal-gas,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,20,5158241.72,15.004783861518998,TETO NS,thermal-gas,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,21,4967502.879,1.725058402792377,HE Pirot,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,22,4793350.023,1.696089552098905,HEDJ 1,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,0.95,23,4635783.154,1.696089552098905,HEDJ 1,hydro,485833975.91357136,74883464.93562387,TENT B1,4.978472823148367
0,1.0,0,4619197.168,1.7837480265463252,HEDJ 1,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,1,4461630.298,1.7837480265463252,HEDJ 1,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,2,4469923.292,1.7837480265463252,HEDJ 1,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,3,4386993.36,1.7837480265463252,HEDJ 1,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,4,4254305.47,1.7820854429930355,Zvornik,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,5,4204547.512,1.7388857258226311,HEDJ 2,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,6,4672900.0,1.7837480265463252,HEDJ 1,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,7,5038100.0,1.87120209886342,Vrla 1,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,8,5071300.0,15.760637781804716,TETO NS,thermal-gas,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,9,5046400.0,6.771008209963965,mixed,mixed,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,10,5046400.0,8.325155650247106,Solarna Elektrana,solar,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,11,5029800.0,1.87120209886342,Vrla 1,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,12,4980000.0,1.8302449353107022,Vrla 4,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,13,4963400.0,1.8142140654366958,HE Pirot,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,14,4921900.0,1.8142140654366958,HE Pirot,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,15,4921900.0,1.8142140654366958,HE Pirot,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,16,4921900.0,1.8142140654366958,HE Pirot,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,17,5096200.0,15.760637781804716,TETO NS,thermal-gas,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,18,5187500.0,15.760637781804716,TETO NS,thermal-gas,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,19,5174827.707,15.760637781804716,TETO NS,thermal-gas,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,20,5158241.72,15.760637781804716,TETO NS,thermal-gas,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,21,4967502.879,1.8142140654366958,HE Pirot,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,22,4793350.023,1.7837480265463252,HEDJ 1,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
0,1.0,23,4635783.154,1.7837480265463252,HEDJ 1,hydro,485833975.91357136,74883464.93562387,TENT B1,5.189594982670651
10,0.0,0,4619197.168,0.03057853759793701,HEDJ 1,hydro,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,1,4461630.298,0.03057853759793701,HEDJ 1,hydro,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,2,4469923.292,0.03057853759793701,HEDJ 1,hydro,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,3,4386993.36,0.03057853759793701,HEDJ 1,hydro,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,4,4254305.47,0.03057853759793701,HEDJ 1,hydro,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,5,4204547.512,0.03057853759793701,HEDJ 1,hydro,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,6,4672900.0,0.03057853759793701,HEDJ 1,hydro,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,7,5038100.0,0.6435593760903592,TETO NS,thermal-gas,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,8,5071300.0,0.6435593760903592,TETO NS,thermal-gas,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,9,5046400.0,0.6435593760903592,TETO NS,thermal-gas,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,10,5046400.0,0.6435593760903592,TETO NS,thermal-gas,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,11,5029800.0,0.6435593760903592,TETO NS,thermal-gas,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,12,4980000.0,0.6435593760903592,TETO NS,thermal-gas,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,13,4963400.0,0.6435593760903592,TETO NS,thermal-gas,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,14,4921900.0,0.03207775026623007,Vrla 1,hydro,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,15,4921900.0,0.03207775026623007,Vrla 1,hydro,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,16,4921900.0,0.03207775026623007,Vrla 1,hydro,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,17,5096200.0,0.6435593760903592,TETO NS,thermal-gas,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,18,5187500.0,15.761049787225549,mixed,mixed,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,19,5174827.707,0.6435593760903593,TETO NS,thermal-gas,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,20,5158241.72,0.6435593760903593,TETO NS,thermal-gas,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,21,4967502.879,0.6435593760903593,TETO NS,thermal-gas,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,22,4793350.023,0.03057853759793701,HEDJ 1,hydro,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.0,23,4635783.154,0.03057853759793701,HEDJ 1,hydro,492985825.2041711,72639051.00932851,TENT B1,0.9671517922249849
10,0.05,0,4619197.168,0.11823701204535644,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,1,4461630.298,0.11823701204535644,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,2,4469923.292,0.11823701204535644,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,3,4386993.36,0.11823701204535644,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,4,4254305.47,0.11823701204535644,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,5,4204547.512,0.11823701204535644,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,6,4672900.0,0.11823701204535644,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,7,5038100.0,1.3994132963760775,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,8,5071300.0,1.3994132963760775,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,9,5046400.0,1.3994132963760775,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,10,5046400.0,1.3994132963760775,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,11,5029800.0,1.3994132963760775,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,12,4980000.0,1.3994132963760775,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,13,4963400.0,1.3994132963760775,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,14,4921900.0,0.3395,New Solar,solar,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,15,4921900.0,0.3395,New Solar,solar,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,16,4921900.0,0.3395,New Solar,solar,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,17,5096200.0,1.3994132963760775,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,18,5187500.0,10.800376010240075,mixed,mixed,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,19,5174827.707,1.3994132963760775,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,20,5158241.72,1.3994132963760775,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,21,4967502.879,1.3994132963760775,TETO NS,thermal-gas,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,22,4793350.023,0.12025647519466098,HE Pirot,hydro,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.05,23,4635783.154,0.11823701204535644,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.178273951747268
10,0.1,0,4619197.168,0.20589548649277584,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,1,4461630.298,0.20589548649277584,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,2,4469923.292,0.20589548649277584,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
10,0.1,3,4386993.36,0.20589548649277584,HEDJ 1,hydro,492421663.09070635,72639564.43080562,TENT B1,1.3893961112695514
